Plan 8 Horas,2022-04-10 00:00:00,< 5kW,"0,194927","0,303232",nan,"30,67","4,10",0.2490795,17.385
Plan 3 Periodos,2022-04-10 00:00:00,< 5kW,"0,282748","0,238540","0,222886","30,67","4,10",0.248058,17.385
Plan Noche,2022-04-10 00:00:00,5kW,"0,223454","0,266972",nan,"30,67","4,10",0.24521300000000001,17.385
Plan 8 Horas,2022-04-10 00:00:00,5 - 10kW,"0,194927","0,303232",nan,"30,67","4,10",0.2490795,17.385
Plan 3 Periodos,2022-04-10 00:00:00,5 - 10kW,"0,282748","0,238540","0,222886","30,67","4,10",0.248058,17.385
Plan Noche,2022-04-10 00:00:00,5 - 10kW,"0,223454","0,266972",nan,"30,67","4,10",0.24521300000000001,17.385
Plan 8 Horas,2022-04-10 00:00:00,10 - 15kW,"0,199927","0,308232",nan,"30,67","4,10",0.2540795,17.385
Plan 3 Periodos,2022-04-10 00:00:00,10 - 15kW,"0,287748","0,243540","0,227886","30,67","4,10",0.253058,17.385
Plan Noche,2022-04-10 00:00:00,10 - 15kW,"0,228454","0,271972",nan,"30,67","4,10",0.250213,17.385
